StationName, StationID
236::"19019 - PETIT HONNEGER",19019
237::"19020 - MANIN HAUTPOUL",19020
238::"19021 - MAIRIE DU 19 EME",19021
239::"19023 - MANIN SIMON BOLIVAR",19023
240::"19026 - DANUBE",19026
241::"19027 - PRE ST GERVAIS VERSION 2",19027
242::"19028 - PLACE DES FETES",19028
243::"19030 - 6 PASSAGE DE MELUN",19030
244::"19034 - PANTIN",19034
245::"19035 - PORTE CHAUMONT",19035
246::"19036 - HOPITAL ROBERT DEBRE",19036
247::"19037 - PORTE DES LILAS",19037
248::"19038 - JOURDAIN",19038
249::"19039 - PAILLERON",19039
250::"19040 - TELEGRAPHE",19040
251::"19046 - PORTE DE PANTIN",19046
252::"19101 - SIMON BOLIVAR",19101
253::"19103 - MANIN CARRIERES",19103
254::"19106 - GARE EMGP",19106
255::"19109 - PLACE DU MAROC",19109
256::"19113 - PRE ST GERVAIS",19113
257::"19114 - MANIN SECRETAN",19114
258::"19115 - PORTE DE LA VILLETTE",19115
259::"19117 - EURYALE DEHAYNIN",19117
260::"19120 - ALOUETTES",19120
261::"19121 - BELLEVILLE PRE SAINT GERVAIS",19121
262::"19124 - ALEXANDER FLEMMING",19124
263::"19125 - LEDIT DE NANTES",19125
264::"20002 - PIXERECOURT",20002
265::"20005 - RUE DE LAGNY SAINT MANDE",20005
266::"20006 - PYR�N�ES - PLAINE",20006
267::"20007 - BUZENVAL",20007
268::"20009 - DOCTEUR DEJERINE",20009
269::"20011 - PYR�N�ES-DAGORNO",20011
270::"20013 - PLACE DE LA REUNION",20013
271::"20014 - ALEXANDRE DUMAS",20014
272::"20015 - BAGNOLET-ORTEAUX",20015
273::"20020 - PYRENEES RENOUVIER",20020
274::"20022 - PORTE DE BAGNOLET",20022
275::"20024 - GAMBETTA - P�RE LACHAISE",20024
276::"20025 - GAMBETTA GATINES",20025
277::"20027 - PORTE DE MENILMONTANT",20027
278::"20028 - GAMBETTA MARTIN NADAUD",20028
279::"20029 - PORTE DES LILAS",20029
280::"20032 - AMANDIERS",20032
281::"20034 - SORBIER - M�NILMONTANT",20034
282::"20036 - MENILMONTANT - PELLEPORT",20036
283::"20037 - SAINT FARGEAU",20037
284::"20038 - LEON FRAPIE",20038
285::"20040 - PARC DE BELLEVILLE",20040
286::"20042 - PYRENEES ERMITAGE",20042
287::"20043 - CHARONNE AVRON",20043
288::"20044 - DAVOUT VOLGA",20044
289::"20045 - LOUIS GANNE",20045
290::"20103 - LE VAU BERTEAUX",20103
291::"20105 - GAUMONT",20105
292::"20106 - MAIRIE DU 20�ME",20106
293::"20108 - HOSPICE DEBROUSSE",20108
294::"20109 - SURMELIN HAXO",20109
295::"20110 - PORTE DES LILAS",20110
296::"20111 - L\u0027ISLE ADAM PYREN�ES",20111
297::"20112 - JOURDAIN",20112
298::"20113 - PARC DE BELLEVILLE",20113
299::"20115 - PORTE DE BAGNOLET",20115
300::"20116 - HAIES REUNION",20116
301::"20117 - SAINT FARGEAU MORTIER",20117
302::"20118 - ORTEAUX MOURAUD",20118
303::"20119 - SQUARE DE MENILMONTANT",20119
304::"20131 - REPOS",20131
305::"20132 - REUNION",20132
306::"20503 - COURS DE VINCENNES PYR�N�ES",20503
307::"21003- JAURES 1 (BOULOGNE-BILLANCOURT)",21003
308::"21011 - SILLY (BOULOGNE BILLANCOURT)",21011
309::"21014 - HAMEAU FLEURI (BOULOGNE-BILLANCOURT)",21014
310::"21101 - VALITON (CLICHY)",21101
311::"21105 - MORICE (CLICHY)",21105
312::"21106 - MORICE 2 (CLICHY)",21106
313::"21109 - GUICHET (CLICHY)",21109
314::"21204 - D\u0027ORVES (MONTROUGE)",21204
315::"21206- PERI (MONTROUGE)",21206
316::"21208 - CARVES (MONTROUGE)",21208
317::"21210 - PERI 2 (MONTROUGE)",21210
318::"21308 - LASSERRE (ISSY LES MOULINEAUX)",21308
319::"21702 - BASCH (VANVES)",21702
320::"21706 - BLEUZEN (VANVES)",21706
321::"21707 - PASTEUR (VANVES)",21707
322::"22002 - ARGENSON (NEUILLY)",22002
323::"22005- DE GAULLE 3 (NEUILLY)",22005
324::"22007 - CHARCOT (NEUILLY)",22007
325::"22009 - DE GAULLE 2 (NEUILLY)",22009
326::"22010 - DE GAULLE 4 (NEUILLY)",22010
327::"22013 - SAINTE FOY (NEUILLY)",22013
328::"22402 - JAURES (MALAKOFF)",22402
329::"23002- FRANCE (LEVALLOIS)",23002
330::"23003 - WILSON (LEVALLOIS)",23003
331::"23007 - WILSON (LEVALLOIS)",23007
332::"23008 - REPUBLIQUE (LEVALLOIS)",23008
333::"31002 - REPUBLIQUE (MONTREUIL)",31002
334::"31004 - PARIS 2 (MONTREUIL)",31004
335::"31005 - PARIS 2  (MONTREUIL)",31005
336::"31006 - REPUBLIQUE 2 (MONTREUIL)",31006
337::"31706 - CHATEAU (BAGNOLET)",31706
338::"31708 - NOISY (BAGNOLET)",31708
339::"32601 - PARIS (LES LILAS)",32601
340::"32602 - POULMARCH (LES LILAS)",32602
341::"32606 - GARDE CHASSE (LES LILAS)",32606
342::"33001 - EMGP (AUBERVILLIERS)",33001
343::"33003 - FAURE (AUBERVILLIERS)",33003
344::"33009 - FELIX (AUBERVILLIERS)",33009
345::"33011 - FAURE (AUBERVILLIERS)",33011
346::"33013 - RECHAUSSIERE (AUBERVILLIERS)",33013
347::"34005 - LESENNE (SAINT OUEN)",34005
348::"35002 - JAURES 2 (PANTIN)",35002
349::"35003 - VAILLANT (PANTIN)",35003
350::"35004 - ALLENDE (PANTIN)",35004
351::"35006 - DELIZY (PANTIN)",35006
352::"35007 - DELESSERT (PANTIN)",35007
353::"35008 - LOLIVE 2 (PANTIN)",35008
354::"35009 - LOLIVE 1 (PANTIN)",35009
355::"35011 - D\u0027ORVES (PANTIN)",35011
356::"35012 - CANDALE (PANTIN)",35012
357::"35013 - TELL (PANTIN)",35013
358::"35014 - DE GAULLE (PANTIN)",35014
359::"41103 - BRIAND (ARCUEIL)",41103
360::"42006 - BROSSOLETTE (IVRY)",42006
361::"42010 - ROBESPIERRE (IVRY)",42010
362::"42013 - BARBES (IVRY)",42013
363::"42014 - CACHIN (IVRY)",42014
364::"42208 - PARIS 4 (CHARENTON)",42208
365::"42703 - FONTAINEBLEAU (KREMLIN BICETRE)",42703
366::"43001 - PARIS 1 (VINCENNES)",43001
