StationName, StationID
224::"16104 - PAUL VAL�RY",16104
225::"16108 - SABLONS",16108
226::"16111 - HELIE",16111
227::"16112 - CHERNOVITZ",16112
228::"16130 - BOIS DE BOULOGNE / PORTE DE LA MUETTE 2",16130
229::"17001 - GUY MOCQUET",17001
230::"17002 - LA FOURCHE RUE DE LA CONDAMINE",17002
231::"17003 - JACQUES KELLNER",17003
232::"17004 - LEGENDRE AVENUE DE CLICHY",17004
233::"17005 - BROCHANT",17005
234::"17007 - NAVIER",17007
235::"17008 - PORCHE POUCHET",17008
236::"17009 - BODIN AVENUE DE CLICHY",17009
237::"17015 - PLACE DE LEVIS",17015
238::"17016 - BROCHANT",17016
239::"17017 - PONT CARDINET",17017
240::"17021 - WAGRAM (17EME ARR.)",17021
241::"17024 - VILLIERS",17024
242::"17026 - WAGRAM COURCELLES",17026
243::"17027 - PEREIRE LEVALLOIS",17027
244::"17033 - CARNOT",17033
245::"17045 - PLACE DES TERNES - 5",17045
246::"17048 - TOCQUEVILLE",17048
247::"17049 - SAUSSURE",17049
248::"17105 - PALADINES",17105
249::"17111 - LEMERCIER",17111
250::"17115 - PORTE DE SAINT OUEN",17115
251::"18001 - DAMREMONT CAULAINCOURT",18001
252::"18002 - CLIGNANCOURT",18002
253::"18003 - JOSEPH DE MAISTRE LEPIC",18003
254::"18004 - ABBESSES",18004
255::"18005 - TARDIEU",18005
256::"18007 - GOUTTE D\u0027 OR",18007
257::"18009 - LEPINE",18009
258::"18011 - HERBERT",18011
259::"18014 - DOUDEAUVILLE LEON",18014
260::"18016 - FRANCOEUR CAULAINCOURT",18016
261::"18017 - PECQUEUR",18017
262::"18019 - MONTCALM",18019
263::"18021 - MARCADET - RAMEY",18021
264::"18022 - BARBES MARCADET",18022
265::"18023 - POISSONNIERS ORDENER",18023
266::"18024 - CLIGNANCOURT MARCADET",18024
267::"18028 - VAUVENARGUES",18028
268::"18029 - POTEAU",18029
269::"18031 - ALBERT KAHN",18031
270::"18034 - LEIBNITZ",18034
271::"18036 - FRANCIS DE CROISSET",18036
272::"18038 - ROND POINT DE LA CHAPELLE",18038
273::"18041 - MARTYRS 2",18041
274::"18042 - PIGALLE GERMAIN PILLON",18042
275::"18044 - CLICHY",18044
276::"18045 - GANNERON",18045
277::"18049 - PTE D\u0027AUBERVILLIERS",18049
278::"18107 - CHARTRES",18107
279::"18112 - H�PITAL BICHAT",18112
280::"18113 - LEPIC",18113
281::"18114 - LEPIC VERON",18114
282::"19001 - OURCQ CRIMEE",19001
283::"19003 - QUAI DE SEINE",19003
284::"19004 - QUAI DE LA LOIRE",19004
285::"19005 - RIQUET",19005
286::"19006 - MATHIS",19006
